Date,DaysToNextTradingDay,DayBeforeHoliday,Volume,Return,OvernightReturn,IntradayTradingRange,BBBBondMargin,CorporateBondMargin,Dispersion
2017-08-04,3,No,1157846353,0.001835534735875321,0.0020492083342678953,0.014977082880884509,0.6000000000000001,0.2599999999999998,0.011463704947172332
2017-08-07,1,No,912516900,3.8391051972115446e-5,-4.2785325275407566e-4,0.013055659822829734,0.6200000000000001,0.27,0.011610893534194335
2017-08-08,1,No,1064749526,-0.0029113183965747305,-0.0013573956360891162,0.016047734090938178,0.6100000000000003,0.27,0.00924102320101819
2017-08-09,1,No,1103255928,-0.0015328053996615774,-0.002624604675380313,0.014832429555820299,0.6200000000000001,0.27,0.010340436874908016
2017-08-10,1,No,1240871810,-0.012654347613565908,-0.0029360539129525414,0.017977249752734684,0.6299999999999999,0.2799999999999998,0.016427192213139492
2017-08-11,3,No,1001522182,-1.3568628078097862e-4,1.9923217230622528e-4,0.016013932968867304,0.6400000000000001,0.28000000000000025,0.009195359778552206
2017-08-14,1,No,936120326,0.008493155779724803,0.006178750542489822,0.013627418895985219,0.6300000000000003,0.28000000000000025,0.00993550351117463
2017-08-15,1,No,1000339879,-0.0023438727911131428,1.5469685175771347e-4,0.014572857273788688,0.6299999999999999,0.2799999999999998,0.011199291179173466
2017-08-16,1,No,1018093696,0.0024936985012165955,0.00310085797230828,0.014370899330363413,0.6299999999999999,0.2799999999999998,0.00997903893523049
2017-08-17,1,No,1219427057,-0.014680908674456124,-0.0031030118137061746,0.019353326381784077,0.6400000000000001,0.2799999999999998,0.010377789055164292
2017-08-18,3,No,1208039776,-0.0015935305005673642,-0.0014988569489810654,0.015828587258414812,0.6400000000000001,0.29000000000000004,0.01131775064751603
2017-08-21,1,No,985540295,4.264017775585189e-5,-1.196380403695717e-5,0.013482601765208248,0.6400000000000001,0.28000000000000025,0.008992753032805542
2017-08-22,1,No,945695152,0.009445526447316041,0.002516812943553028,0.01423424623838528,0.6400000000000001,0.29000000000000004,0.009800903854698019
2017-08-23,1,No,967610990,-0.0024708082872332607,-0.00432611022744173,0.014535630531142813,0.6400000000000001,0.29000000000000004,0.011451920899252614
2017-08-24,1,No,1040759151,-0.002869887809285202,0.002124450464284862,0.015497794740796132,0.6400000000000001,0.29000000000000004,0.012775369739656007
2017-08-25,3,No,908919175,0.003957718360334936,0.0035601100437273603,0.012896725480350427,0.6400000000000001,0.29000000000000004,0.00834899410696939
2017-08-28,1,No,879781141,-0.0014562847276100607,0.0020996787102659483,0.014137623637605708,0.6400000000000001,0.29000000000000004,0.009177566188779242
2017-08-29,1,No,914524668,-7.15651966456438e-4,-0.005418786918615613,0.014061138316290417,0.6400000000000001,0.29000000000000004,0.010300461893081503
2017-08-30,1,No,915655838,0.0036881737998870866,-7.576864402095143e-4,0.013992718034459787,0.6400000000000001,0.28000000000000025,0.010852689865979322
2017-08-31,1,No,1260170327,0.004969254582770725,0.002952454274659568,0.013779950760671728,0.6499999999999999,0.2999999999999998,0.010994655255039516
2017-09-01,4,Yes,957475485,0.004327948130861676,0.0024958147719357586,0.014443134214633904,0.6400000000000001,0.30000000000000027,0.009666962947962574
2017-09-05,1,No,1268420464,-0.006481809429355979,-0.0015613471453224765,0.01789341266455749,0.6400000000000001,0.2999999999999998,0.013804847923976666
2017-09-06,1,No,1249283636,0.004565564486236413,0.0036874389783996355,0.016213597239684956,0.6400000000000001,0.29000000000000004,0.012797533286499487
2017-09-07,1,No,1350851245,-9.429274490565036e-4,0.0010471884432183029,0.01877671906328744,0.6300000000000003,0.29000000000000004,0.01587971611603451
2017-09-08,3,No,1257837240,6.027266794790767e-4,-0.0021631817321451723,0.01915494200572206,0.6299999999999999,0.2799999999999998,0.017253723701029355
2017-09-11,1,No,1190324460,0.010162997489354838,0.0049677283218376314,0.01651138834883374,0.6300000000000003,0.28000000000000025,0.013205766391303535
